first_name,last_name,party,vote
พรเพ็ญ,บุญศิริวัฒนกุล,เพื่อไทย,0
พรรณสิริ,กุลนาถศิริ,พลังประชารัฐ,0
พรรณิการ์,วานิช,อนาคตใหม่,1
พลภูมิ,วิภัติภูมิประเทศ,เพื่อไทย,0
พัชรินทร์,ซำศิริพงษ์,พลังประชารัฐ,0
พัฒนา,สัพโส,เพื่อไทย,0
พาณุวัฒณ์,สะสมทรัพย์,ชาติไทยพัฒนา,0
พิจารณ์,เชาวพัฒนวงศ์,อนาคตใหม่,1
พิชชารัตน์,เลาหพงศ์ชนะ,พลังประชารัฐ,0
พิเชษฐ์,เชื้อเมืองพาน,เพื่อไทย,0
พิเชษฐ,สถิรชวาล,ประชาธรรมไทย,0
พิธา,ลิ้มเจริญรัตน์,อนาคตใหม่,1
พิบูลย์,รัชกิจประการ,ภูมิใจไทย,0
พิมพ์พร,พรพฤฒิพันธุ์,พลังประชารัฐ,0
พิมพ์ภัทรา,วิชัยกุล,ประชาธิปัตย์,0
พิษณุ,พลธี,ภูมิใจไทย,0
พีรเดช,คำสมุทร,อนาคตใหม่,1
พีระพันธุ์,สาลีรัฐวิภาค,ประชาธิปัตย์,1
พีระเพชร,ศิริกุล,เพื่อไทย,0
พุทธิพงษ์,ปุณณกันต์,พลังประชารัฐ,0
เพชร,เอกกำลังกุล,เสรีรวมไทย,1
เพชรชมพู,กิจบูรณะ,รวมพลังประชาชาติไทย,0
เพชรดาว,โต๊ะมีนา,ภูมิใจไทย,0
เพชรวรรต,วัฒนพงศศิริกุล,เพื่อชาติ,0
ไพจิต,ศรีวรขาน,เพื่อไทย,0
ไพบูลย์,นิติตะวัน,ประชาชนปฏิรูป,0
ไพโรจน์,โล่ห์สุนทร,เพื่อไทย,1
ไพลิน,เทียนสุวรรณ,พลังประชารัฐ,0
ภณณัฏฐ์,ศรีอินทร์สุทธิ์,เพื่อไทย,0
ภราดร,ปริศนานันทกุล,ภูมิใจไทย,0
ภริม,พูลเจริญ,พลังประชารัฐ,0
ภาคภูมิ,บูลย์ประมุข,พลังประชารัฐ,0
ภาควัต,ศรีสุรพล,เพื่อไทย,0
ภาดาท์,วรกานนท์,พลังประชารัฐ,0
ภานุ,ศรีบุศยกาญจน์,ประชาธิปัตย์,0
ภาสกร,เงินเจริญกุล,เศรษฐกิจใหม่,2
ภิญโญ,นิโรจน์,พลังประชารัฐ,0
ภูดิท,อินสุวรรณ์,พลังประชารัฐ,0
ภูมิศิษฏ์,คงมี,ภูมิใจไทย,0
มงคลกิตติ์,สุขสินธารานนท์,ไทยศรีวิไลย์,-1
มณฑล,โพธิ์คาย,อนาคตใหม่,1
มณเฑียร,สงฆ์ประชา,พลังประชารัฐ,0
มนตรี,ตั้งเจริญถาวร,เพื่อไทย,0
มนตรี,ปาน้อยนนท์,ประชาธิปัตย์,0
มนพร,เจริญศรี,เพื่อไทย,0
มนูญ,สิวาภิรมย์รัตน์,เศรษฐกิจใหม่,2
มัลลิกา,จิระพันธุ์วาณิช,ภูมิใจไทย,0
มานพ,ศรีผึ้ง,ภูมิใจไทย,0
มานะ,โลหะวณิชย์,เพื่อไทย,0
มานะศักดิ์,จันทร์ประสงค์,เพื่อไทย,0
มานัส,อ่อนอ้าย,พลังประชารัฐ,0
มารศรี,ขจรเรืองโรจน์,เศรษฐกิจใหม่,2
มิ่งขวัญ,แสงสุวรรณ์,เศรษฐกิจใหม่,2
มุกดา,พงษ์สมบัติ,เพื่อไทย,1
ยงยุทธ,เทพจำนงค์,ประชานิยม,0
ยงยุทธ,สุวรรณบุตร,พลังประชารัฐ,0
ยรรยงก์,ถนอมพิชัยธำรง,รักษ์ผืนป่าประเทศไทย,0
ยศวัฒน์,มาไพศาลสิน,ภูมิใจไทย,0
ยุทธพงศ์,จรัสเสถียร,เพื่อไทย,0
เยาวลักษณ์,วงษ์ประภารัตน์,อนาคตใหม่,1
รงค์,บุญสวยขวัญ,พลังประชารัฐ,0
รณเทพ,อนุวัฒน์,พลังประชารัฐ,0
ระวี,มาศฉมาดล,พลังธรรมใหม่,0
รังสรรค์,มณีรัตน์,เพื่อไทย,0
รังสรรค์,วันไชยธนวงศ์,เพื่อไทย,0
รังสิกร,ทิมาตฤกะ,ภูมิใจไทย,0
รังสิมันต์,โรม,อนาคตใหม่,1
